Titre;genre1;genre2;réalisateur_1;actor_1;actor_2;actor_3;note_presse;note_spectators;Scenar;nationality_1;distributor;language;real_awards;first_actor_awards;second_actor_awards;length_corrected;day;month;year;note_spectator_word;nomi
Tous en scène à Noël;Romance;;Pat Kiely;Heather Hemmens;Luke MacFarlane;Maria Nash;;3.2;Jamie Pachino;U.S.A.;TF1;Anglais;0.0;0.0;0.0;84;7;décembre;2021;good;0
Tous les garçons et les filles;Comédie;;Charline Bourgeois-Tacquet;Anaïs Demoustier;Sigrid Bouaziz;Raphaël Quenard;4.2;3.8;;France;New Story;Français;4.0;5.0;0.0;64;5;janvier;2022;good;0
Tout s'est bien passé;Comédie;Comédie dramatique;François Ozon;Sophie Marceau;André Dussollier;Géraldine Pailhas;3.4;3.5;François Ozon;France;Diaphana Distribution;Français;7.0;3.0;4.0;109;22;septembre;2021;good;14
Toute la vérité : Dans une autre vie;Policier;;Jens Wischnewski;Christina Hecke;Robin Sondermann;Rudolf Kowalski;;3.2;Zora Holt;Allemagne;Arte;Allemand;0.0;0.0;0.0;90;15;septembre;2022;good;0
Toute la vérité : Un cri sous l’eau;Policier;Thriller;Miguel Alexandre;Christina Hecke;Robin Sondermann;Jeanne Goursaud;;2.9;Zora Holtfreter;Allemagne;Arte;Allemand;0.0;0.0;0.0;90;17;février;2022;soso;0
Toxique;Epouvante-horreur;;Claudia Llosa;María Valverde;Guillermo Pfening;Dolores Fonzi;;1.6;Claudia Llosa;Chili;;Espagnol;1.0;0.0;1.0;93;13;octobre;2021;bad;0
Tre Piani;Comédie;Comédie dramatique;Nanni Moretti;Margherita Buy;Riccardo Scamarcio;Alba Rohrwacher;3.2;3.5;Nanni Moretti;Italie;Le Pacte;Italien;7.0;1.0;0.0;120;10;novembre;2021;good;12
Tribhanga;Drame;;Ajay Devgn;Mithila Palkar;Kunaal Roy Kapur;Tanvi Azmi;;3.1;Renuka Shahane;Inde;;Hindi;2.0;0.0;0.0;95;24;octobre;2022;good;0
Tromperie;Drame;Romance;Arnaud Desplechin;Denis Podalydès;Léa Seydoux;Emmanuelle Devos;3.6;2.3;Arnaud Desplechin;France;Le Pacte;Français;6.0;10.0;5.0;105;29;décembre;2021;soso;1
True Things;Drame;;Harry Wootliff;Ruth Wilson;Tom Burke;Hayley Squires;;2.5;Harry Wootliff;Grande-Bretagne;;Anglais;0.0;1.0;0.0;102;14;août;2022;soso;3
Twist;Action;Drame;Martin Owen;Raff Law;Rita Ora;Lena Headey;;1.7;John Wrathall;Grande-Bretagne;;Anglais;0.0;0.0;0.0;92;26;mai;2021;bad;2
Twist À Bamako;Drame;Historique;Robert Guédiguian;Stéphane Bak;Alicia Da Luz Gomes;Saabo Balde;3.6;3.3;Robert Guédiguian;France;Diaphana Distribution;Français;2.0;0.0;0.0;129;5;janvier;2022;good;0
Un after mortel;Comédie;Fantastique;Stephen Herek;Victoria Justice;Adam Garcia;Midori Francis;;2.7;Carrie Freedle;U.S.A.;;Anglais;0.0;0.0;0.0;109;2;septembre;2021;soso;0
Un autre monde;Drame;;Stéphane Brizé;Vincent Lindon;Sandrine Kiberlain;Anthony Bajon;4.1;4.0;Stéphane Brizé;France;Diaphana Distribution;Français;2.0;6.0;4.0;96;16;février;2022;good;3
Un Château pour Noël;Comédie;Famille;Mary Lambert;Brooke Shields;Cary Elwes;Vanessa Grasse;;2.3;Neal H. Dobrofsky;U.S.A.;;Anglais;3.0;1.0;0.0;98;26;novembre;2021;soso;0
Un Dragon en forme de nuage;Comédie dramatique;Romance;Sergio Castellitto;Sergio Castellitto;Bérénice Bejo;Matilda De Angelis;;2.7;Ettore Scola;Italie;;Italien;1.0;1.0;5.0;89;19;décembre;2021;soso;0
Un espion ordinaire;Biopic;Drame;Dominic Cooke;Benedict Cumberbatch;Merab Ninidze;Rachel Brosnahan;3.1;3.9;Tom O'Connor (II);Grande-Bretagne;SND;Anglais;0.0;1.0;0.0;112;23;juin;2021;good;0
Un été à Cold Spring;Drame;Thriller;Rebecca Eskreis;Madelyn Cline;Lukas Gage;Shakira Barrera;;2.5;Rebecca Eskreis;U.S.A.;;Anglais;0.0;0.0;0.0;99;1;février;2016;soso;0
Un garçon nommé Noël;Aventure;Drame;Gil Kenan;Henry Lawfull;Jim Broadbent;Maggie Smith;;3.5;Gil Kenan;Grande-Bretagne;;Anglais;4.0;0.0;6.0;104;1;février;2016;good;0
